file,line,type,commit,author,date,time,timezone,datetime,depth,length
temp.js,1,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,17
temp.js,2,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,13
temp.js,3,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,20
temp.js,4,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,10
temp.js,5,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,0
temp.js,6,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,13
temp.js,7,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,16
temp.js,8,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,0
temp.js,9,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,20
temp.js,10,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,48
temp.js,11,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,45
temp.js,12,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,16
temp.js,13,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,0
temp.js,14,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,46
temp.js,15,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,31
temp.js,16,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,0
temp.js,17,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,27
temp.js,18,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,15
temp.js,19,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,14
temp.js,20,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,14
temp.js,21,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,25
temp.js,22,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,23
temp.js,23,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,24
temp.js,24,js,2837ba79,ritvikchand1,2025-05-03,22:03:16,-07:00,2025-05-03T22:03:16-07:00,0,2
style.css,1,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,5
style.css,2,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,32
style.css,3,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,33
style.css,4,css,f41f1311,ritvikchand1,2025-04-19,18:37:16,-07:00,2025-04-19T18:37:16-07:00,0,23
style.css,5,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,0
style.css,6,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,0
style.css,7,css,8a33843d,ritvikchand1,2025-04-04,19:27:21,-07:00,2025-04-04T19:27:21-07:00,0,5
style.css,8,css,8a33843d,ritvikchand1,2025-04-04,19:27:21,-07:00,2025-04-04T19:27:21-07:00,0,24
style.css,9,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,16
style.css,10,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,19
style.css,11,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,13
style.css,12,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,0
style.css,13,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,0
style.css,14,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,4
style.css,15,css,f41f1311,ritvikchand1,2025-04-19,18:37:16,-07:00,2025-04-19T18:37:16-07:00,0,40
style.css,16,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,13
style.css,17,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,19
style.css,18,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,24
style.css,19,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,26
style.css,20,css,f41f1311,ritvikchand1,2025-04-19,18:37:16,-07:00,2025-04-19T18:37:16-07:00,0,40
style.css,21,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,0
style.css,22,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,0
style.css,23,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,6
style.css,24,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,7
style.css,25,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,21
style.css,26,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,14
style.css,27,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,18
style.css,28,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,14
style.css,29,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,0
style.css,30,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,0
style.css,31,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,14
style.css,32,css,1a6ed785,ritvikchand1,2025-04-11,21:27:20,-07:00,2025-04-11T21:27:20-07:00,0,26
